,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
15b,0.08195495074822672,0.3885691414848909,1.0741947390656617,0.2939150156760723,1.3130527205212017,0.4103706668445512,0.19200053365352543,5.225318746803638,2.086333355568897,0.20766148578035712,0.1046716919040313,0.10409534609654682,0.1673699775420808
16,0.059775071093155045,0.2785505245311492,0.7728868155435253,0.31344389559104013,0.6705122055743473,0.3284137986233952,0.10053860801976759,2.4926662012879315,2.511945388509376,0.14313161308102385,0.10332761352298975,0.13037433974926718,0.10931398795234563
16b,0.04347302571453299,0.14084260763341613,0.43791887074472474,0.0793846591076353,0.1315286509304771,0.24113408932500593,0.0796084331149231,0.7832125669357635,2.5591688577410423,0.11230002273154356,0.12605537333184888,0.11393394926151257,0.08605493950686938
17,0.06146937802573257,0.22995533408627844,0.5488565639596589,0.1910007548369155,0.45010527988558263,0.31100120887415794,0.06831353541774264,2.3199233812153444,2.5066221331804743,0.13713332236076667,0.11196558397702572,0.12612155712072284,0.08630090183147272
18,0.055851625762316275,0.192731783505557,0.45034011914472744,0.14635949210095445,0.3198892674895289,0.2691063404087099,0.07287797030517944,1.619090761017813,2.4335934186721997,0.15668048424540912,0.09375675261388162,0.10654384568269894,0.07843291169766954
18b,0.1158583312852501,0.7404933039013946,0.6327189688180459,0.4789522036317731,2.800265177657241,0.4411783310675941,0.16839325374980615,6.781794792034151,1.978564390377062,0.2528764611297983,0.09353044509761421,0.12765710461186028,0.6916962845200275
19f.1,0.057781748521631086,0.14465260847831818,0.6653568612282402,0.22143519888915178,0.9345579935427785,0.26057320245179555,0.06807568069774085,1.6301834886434963,2.427620311232363,0.1848967799735001,0.13762745204589877,0.09321242440801396,0.24011674616967416
20f.1,0.06566870857578376,0.19709368877078795,0.6294246002339406,0.10404633961348735,0.7879780408863568,0.25113929683078745,0.07005400875116671,1.282249083575686,2.4745689111658407,0.1450901759737954,0.060977831248815416,0.10742823879112069,0.13010796054168014
21f.1,0.07788534654544142,0.24901863397883728,0.5623571770025748,0.38899879126267173,3.0491215197008175,0.31149271660946715,0.12602349973028945,4.567762459163872,1.9236860010196495,0.22733601067135178,0.07775161483777411,0.11750150146726701,0.6986795528494006
22f.7,0.06543021818768695,0.12616461463973278,0.5136220836271906,0.17301848040201895,0.4162885763745338,0.23752478903070195,0.05879062692757513,0.9585336169102643,2.5031827236208235,0.1455076859812919,0.10392976607114039,0.09567979978643297,0.14949338627555456
