,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
44f.1,108.20833333333333,347.7291666666667,1454.0,576.0,886.3177083333334,733.953125,199.52083333333334,4250.48828125,7381.122721354167,354.3125,228.78776041666666,309.9791666666667,265.9609375
45,197.08333333333334,959.4462890625,2228.3333333333335,1306.0,4142.5,1294.3177083333333,608.5494791666666,20847.215494791668,5705.545247395833,692.1588541666666,278.2526041666667,377.755859375,362.8245442708333
46,251.0,1046.5006510416667,2135.3125,1052.75,2080.0833333333335,1063.71875,363.4739583333333,16934.05859375,6307.555338541667,419.53125,301.5716145833333,291.6253255208333,304.0833333333333
47,201.76497395833334,508.0677083333333,1347.7916666666667,728.625,2783.1145833333335,809.734375,693.8177083333334,4365.223307291667,7157.440755208333,540.0436197916666,375.8072916666667,346.1184895833333,318.2613932291667
48,168.75,605.1354166666666,1956.1666666666667,667.25,1949.53125,958.23046875,530.53515625,8501.001302083334,6884.9150390625,513.41015625,297.8958333333333,253.01692708333334,267.5494791666667
49,232.16666666666666,845.7265625,2377.9166666666665,1324.0,2831.4947916666665,1248.3977864583333,733.0833333333334,16448.041666666668,6391.831705729167,888.8515625,350.7353515625,341.7740885416667,373.2552083333333
50f.1,213.85416666666666,701.2526041666666,2381.6458333333335,1168.625,4445.973958333333,1007.5384114583334,526.3854166666666,9365.225911458334,6384.2578125,510.2552083333333,249.51692708333334,210.86328125,698.0071614583334
51f.1,183.75,445.8880208333333,1626.0,748.75,1044.5208333333333,785.5208333333334,275.3333333333333,4949.014973958333,7172.4599609375,434.4231770833333,231.99739583333334,296.0364583333333,205.6552734375
52f.1,212.85416666666666,910.7708333333334,3046.0833333333335,987.0,1982.7083333333333,925.3541666666666,340.625,13465.9892578125,6464.6923828125,533.65625,320.171875,288.2916666666667,246.79850260416666
53,268.4791666666667,1211.4609375,2458.5625,1297.0,6326.520833333333,1293.2018229166667,647.21875,17684.569010416668,5781.005533854167,1072.5026041666667,224.1640625,353.0026041666667,467.2086588541667
54f.1,131.30794270833334,603.5208333333334,2251.6041666666665,671.0,1049.8958333333333,744.8079427083334,302.8020833333333,3947.9951171875,7227.681966145833,371.7916666666667,272.1276041666667,328.1145833333333,190.60416666666666
55f.3,226.70833333333334,1088.8697916666667,2104.3333333333335,1804.4375,2504.875,1077.8873697916667,557.8723958333334,13303.595052083334,6287.0556640625,654.4436848958334,258.9505208333333,330.5078125,313.0045572916667
56f.5,251.0,1142.28125,2396.0,1910.5625,1858.6875,1026.5104166666667,541.9322916666666,10967.287760416666,6655.6171875,584.6692708333334,337.921875,485.3046875,297.0286458333333
57,206.69368489583334,652.8125,2173.6666666666665,989.0,1274.75,920.9010416666666,300.375,7773.9921875,7045.011067708333,456.9466145833333,442.7135416666667,435.2083333333333,248.44759114583334
58f.3,174.31966145833334,618.4895833333334,1755.8333333333333,1203.5,776.8489583333334,824.1979166666666,387.6666666666667,4673.519205729167,7229.9423828125,363.1666666666667,343.0885416666667,268.7395833333333,282.5325520833333
59f.3,215.16666666666666,583.9895833333334,1261.8333333333333,1519.75,1557.4375,979.78125,687.4765625,7115.600260416667,6825.7578125,570.8333333333334,327.6119791666667,298.6165364583333,285.9847005208333
61f.2,185.125,671.8098958333334,1667.2291666666667,753.0,1649.875,777.7760416666666,361.4583333333333,5072.234375,7159.952473958333,470.0559895833333,282.1569010416667,321.4583333333333,201.95149739583334
61f.3,199.41666666666666,617.8098958333334,1633.625,894.75,2840.4375,896.9153645833334,426.4166666666667,6327.362955729167,6969.637369791667,503.4453125,298.4361979166667,295.3795572916667,280.2708333333333
62f.20,253.76822916666666,1093.4934895833333,1882.0833333333333,1289.9375,8383.526041666666,1264.984375,1509.5,18893.4716796875,5644.367838541667,1278.4348958333333,208.2421875,279.5758463541667,441.2578125
63f.1,307.1875,1386.546875,1928.1666666666667,1356.9375,3772.8828125,1344.046875,692.7578125,21337.82421875,6073.9599609375,698.26953125,348.9791666666667,453.5377604166667,333.9778645833333
64f.4,218.24088541666666,868.7994791666666,1416.2916666666667,1091.875,2595.53125,988.0455729166666,326.9791666666667,9378.202473958334,6733.266927083333,604.9033203125,256.6393229166667,319.1015625,256.4388020833333
64f.1,274.8424479166667,1427.7109375,4442.666666666667,1302.6875,1467.5572916666667,976.0110677083334,283.0416666666667,4169.923828125,7110.587890625,490.2369791666667,271.3089192708333,353.0416666666667,277.4072265625
65f.1,165.66666666666666,499.42578125,1960.375,1343.0,768.84375,892.3645833333334,558.2389322916666,6514.436848958333,6954.494140625,459.1627604166667,254.30240885416666,278.4791666666667,297.5234375
66,284.625,1424.6875,2333.0625,1196.9375,3720.25,1218.21875,506.4583333333333,16969.958984375,6285.21484375,549.7161458333334,281.2682291666667,365.4830729166667,374.8411458333333
