,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
61f.2,0.01964267574950684,0.0712823440873147,0.17690123927591536,0.07989701466240999,0.17505987658186414,0.08252587490718842,0.03835251229506456,0.5381890892836055,0.7597062786109,0.04987525935178383,0.02993823912300957,0.03410831496904012,0.021428050130850664
61f.3,0.02157408391194804,0.06683835788219078,0.1767352920885388,0.09679938945365069,0.3072954632928236,0.09703365150406838,0.04613229727431597,0.6845318479644927,0.7540169232849189,0.05446571542140528,0.032286607151944334,0.03195592154559706,0.03032136971034653
62f.20,0.028196633082367376,0.12149997974525317,0.20912158056470234,0.1433272183288098,0.9315082841914596,0.14055463283931044,0.1677231928425512,2.099286779726735,0.6271556114329365,0.14204914380291556,0.023138154734691756,0.031064162697700803,0.049028929565564615
63f.1,0.03383825609056696,0.15273514787491463,0.21239730604911178,0.149473525530478,0.4156021153499851,0.14805355801904777,0.0763107752370001,2.350469209618114,0.6690773961897968,0.07691791892143283,0.03844181944883602,0.04995947713927607,0.03678935018629185
64f.4,0.023129120558966054,0.09207517581707063,0.15009827623477312,0.11571666996358533,0.27507382533387253,0.10471285034475512,0.03465317945198382,0.9938998150252693,0.7135901332826803,0.06410751952052983,0.027198578435833693,0.03381831271223986,0.027177327282458395
64f.1,0.02946456162305723,0.1530581510125263,0.476277324565207,0.13965497837136961,0.15732989057349064,0.10463353993265818,0.030343561166073785,0.4470378521533796,0.7622925667690502,0.052555992686171026,0.02908574869470068,0.037847930775819695,0.029739519436278904
65f.1,0.017578057877570955,0.05299156109676211,0.20800554453768505,0.14249898428316574,0.08157814850890559,0.0946843237045945,0.05923192914287523,0.6912141728617939,0.737906441729181,0.048719454192129245,0.02698275127511622,0.02954802560984544,0.031568717531039424
66,0.031119932544436953,0.15577050117488808,0.25508914403849076,0.130869088308852,0.40675952234849916,0.1331959080346712,0.05537443713623644,1.855437782610845,0.687204082441085,0.06010409969932789,0.030752914601879313,0.03996068010645656,0.040983860072772195
67f.20,0.019002693611717882,0.057506292911289496,0.21258984289498492,0.12595650018091423,0.12251801324917472,0.13229212732787463,0.08174586689180437,1.5942217938538306,0.68901341166249,0.05861341534777967,0.03677919084440037,0.037587302278625764,0.03027186270174169
68,0.019726381104020228,0.07481565287180748,0.1607427217770644,0.04771314287193693,0.0878065871854949,0.10087139325057282,0.02625333005397988,0.6199105426898465,0.7706670809007866,0.034437767795886136,0.0262858129128857,0.0310555462065216,0.029948022247824193
